"F1","F2","V","t","p","P","Angle"
0.122,0.121,8.727,22.260,66.026,99.908,0.084
0.138,0.111,5.273,20.822,78.689,97.241,2.509
0.136,0.102,4.267,22.654,83.196,96.632,3.062
0.136,0.101,4.689,24.025,75.231,96.409,3.264
0.115,0.139,6.111,20.916,66.753,102.416,-2.196
0.147,0.128,9.269,24.386,83.151,98.162,1.671
0.106,0.117,6.246,20.832,68.103,101.108,-1.008
0.146,0.119,9.050,24.177,83.996,97.265,2.486
0.133,0.120,7.170,23.303,68.372,98.732,1.153
0.145,0.147,1.115,21.367,79.305,100.194,-0.176
0.102,0.106,3.825,22.958,68.470,100.410,-0.373
0.103,0.148,0.431,21.551,79.491,104.463,-4.058
0.104,0.144,8.892,20.071,66.446,104.036,-3.669
0.123,0.108,7.629,20.716,77.491,98.462,1.398
0.140,0.123,7.361,23.649,81.975,98.225,1.614
0.125,0.100,3.620,21.437,68.895,97.568,2.210
0.115,0.147,6.217,24.130,69.915,103.177,-2.888
0.108,0.136,3.075,23.735,68.580,102.776,-2.523
0.127,0.115,7.427,20.071,84.571,98.772,1.116
0.120,0.119,7.498,22.922,76.244,99.956,0.040
0.143,0.114,3.788,21.739,68.129,97.157,2.584
0.121,0.122,2.566,21.270,81.577,100.081,-0.074
0.140,0.104,6.808,24.692,81.659,96.407,3.267
0.134,0.146,6.440,21.636,75.984,101.228,-1.116
0.119,0.125,7.411,20.226,74.092,100.639,-0.581
0.111,0.146,2.514,21.988,74.984,103.517,-3.197
0.126,0.142,8.686,21.310,79.667,101.558,-1.416
0.143,0.143,5.078,24.958,77.428,100.026,-0.024
0.145,0.144,2.566,24.125,77.912,99.959,0.037
0.108,0.134,8.373,22.781,82.291,102.546,-2.314
0.110,0.118,2.038,22.425,67.709,100.775,-0.704
0.128,0.124,6.118,21.941,66.264,99.558,0.402
0.103,0.107,4.709,24.386,75.549,100.343,-0.312
0.108,0.118,2.803,21.717,76.597,101.035,-0.941
0.145,0.127,4.708,20.934,82.186,98.133,1.697
0.112,0.109,8.247,20.822,82.834,99.640,0.327
0.133,0.139,9.349,23.863,68.198,100.605,-0.550
0.101,0.145,4.573,24.855,79.282,104.396,-3.996
0.133,0.143,2.950,24.462,77.005,101.021,-0.928
0.131,0.114,6.838,20.881,73.902,98.267,1.576
0.125,0.115,6.040,24.011,75.037,99.008,0.902
0.115,0.119,5.301,21.780,76.508,100.413,-0.375
0.106,0.112,2.174,24.125,70.418,100.634,-0.577
0.101,0.111,0.114,20.574,73.081,100.968,-0.880
0.130,0.118,0.644,23.298,72.074,98.736,1.149
0.114,0.101,1.707,21.002,77.036,98.609,1.264
0.118,0.108,1.870,22.543,67.928,99.058,0.856
0.103,0.107,1.997,23.769,73.676,100.362,-0.329
0.146,0.145,5.131,22.998,76.802,99.982,0.016
0.103,0.146,3.613,24.535,65.563,104.324,-3.931
0.107,0.106,3.015,22.846,81.172,99.990,0.009
0.136,0.129,6.740,20.176,73.843,99.320,0.618
0.140,0.104,5.570,21.602,80.586,96.382,3.289
0.100,0.119,1.370,22.117,84.079,101.845,-1.678
0.126,0.144,5.390,23.745,69.982,101.782,-1.620
0.109,0.110,3.836,20.968,80.508,100.045,-0.041
0.104,0.135,2.243,21.818,66.490,103.098,-2.816
0.130,0.130,3.273,21.720,84.857,99.973,0.025
0.126,0.135,1.476,21.877,72.279,100.864,-0.786
0.143,0.136,9.656,24.941,84.495,99.297,0.639
0.100,0.100,9.798,21.185,65.878,100.045,-0.041
0.110,0.139,5.862,24.322,77.874,102.898,-2.634
0.135,0.103,2.406,20.331,83.229,96.848,2.865
0.128,0.105,8.699,24.809,66.481,97.705,2.086
0.117,0.124,2.057,21.959,71.277,100.741,-0.674
0.133,0.131,0.197,23.677,77.264,99.816,0.168
0.105,0.136,5.705,21.209,65.594,103.092,-2.811
0.117,0.115,5.898,22.061,66.459,99.857,0.130
0.100,0.129,3.065,22.061,78.910,102.874,-2.613
0.106,0.148,3.557,24.853,77.386,104.258,-3.871
0.116,0.147,1.732,22.082,80.219,103.080,-2.800
0.135,0.138,8.389,22.464,77.640,100.262,-0.238
0.148,0.144,1.943,24.553,81.462,99.566,0.394
0.144,0.148,3.027,21.778,73.685,100.406,-0.369
0.136,0.136,5.555,23.453,71.352,100.021,-0.019
0.121,0.132,8.367,24.749,67.420,101.063,-0.967
0.102,0.118,2.601,20.782,75.477,101.593,-1.448
0.115,0.132,3.177,22.123,77.763,101.699,-1.545
0.124,0.132,2.582,20.881,80.427,100.870,-0.791
0.134,0.113,7.914,20.818,68.194,97.934,1.878
0.121,0.131,7.590,20.704,69.225,100.965,-0.878
0.108,0.128,0.870,21.293,76.596,102.009,-1.826
0.142,0.109,5.378,22.887,75.304,96.715,2.986
0.115,0.119,5.888,23.936,67.261,100.338,-0.307
0.129,0.136,4.749,20.102,79.782,100.714,-0.650
0.149,0.115,9.091,24.285,80.619,96.596,3.095
0.123,0.108,3.609,22.498,81.170,98.499,1.365
0.138,0.125,4.818,20.709,70.637,98.627,1.248
0.125,0.125,8.339,22.193,80.378,100.081,-0.074
0.115,0.119,4.897,22.263,70.285,100.400,-0.363
0.118,0.129,0.965,24.167,81.359,101.144,-1.040
0.131,0.132,0.608,22.834,84.961,100.074,-0.067
0.144,0.115,4.553,24.736,68.594,97.158,2.584
0.138,0.124,5.952,20.770,72.123,98.591,1.281
0.117,0.130,6.672,23.053,75.914,101.351,-1.228
0.135,0.142,4.143,21.552,77.902,100.734,-0.667
0.136,0.117,4.668,20.842,82.545,98.035,1.786
0.126,0.140,2.425,22.344,65.879,101.394,-1.267
0.102,0.142,3.837,22.856,65.812,104.034,-3.667
0.137,0.133,0.683,24.755,77.985,99.601,0.362
0.142,0.124,4.745,24.754,73.921,98.221,1.617
0.102,0.117,4.318,21.151,78.879,101.498,-1.362
0.148,0.115,7.805,22.225,76.811,96.707,2.994
0.147,0.126,1.496,24.561,72.958,97.859,1.946
0.128,0.113,1.721,21.965,73.776,98.490,1.373
0.131,0.141,4.076,23.110,84.957,101.030,-0.936
0.149,0.139,2.360,20.532,72.368,98.994,0.914
0.115,0.102,1.658,24.969,80.407,98.703,1.179
0.104,0.108,1.218,21.795,67.606,100.490,-0.445
0.104,0.110,5.154,21.693,67.352,100.609,-0.554
0.136,0.139,6.181,20.317,72.732,100.246,-0.224
0.138,0.103,2.150,20.523,68.154,96.465,3.214
0.133,0.114,4.055,24.108,68.552,98.136,1.695
0.149,0.134,0.449,21.727,74.934,98.537,1.330
0.138,0.101,3.226,23.940,75.648,96.310,3.354
0.104,0.129,5.653,21.936,73.941,102.505,-2.277
0.130,0.128,0.007,23.209,66.424,99.782,0.198
0.106,0.109,5.101,23.906,82.261,100.271,-0.246
0.117,0.134,2.562,22.470,72.688,101.683,-1.530
0.118,0.136,6.043,23.777,73.595,101.728,-1.571
0.138,0.112,5.602,21.744,83.020,97.417,2.348
0.146,0.125,5.560,21.078,65.634,97.880,1.928
0.102,0.123,8.468,20.081,70.774,102.098,-1.907
0.146,0.123,1.313,20.699,65.980,97.707,2.085
0.149,0.102,0.213,21.542,79.571,95.302,4.271
0.113,0.148,7.740,20.315,65.037,103.472,-3.157
0.103,0.149,4.505,21.044,70.524,104.558,-4.144
0.133,0.119,8.334,24.248,76.551,98.573,1.297
0.145,0.148,8.483,20.037,76.969,100.264,-0.240
0.103,0.109,4.661,21.336,68.259,100.579,-0.526
0.147,0.109,3.128,22.134,74.995,96.249,3.410
0.129,0.143,3.476,20.038,77.571,101.349,-1.226
0.103,0.122,2.905,23.349,83.730,101.885,-1.714
0.138,0.128,2.072,20.556,77.800,98.959,0.946
0.120,0.108,9.188,20.116,75.243,98.790,1.100
0.130,0.147,9.141,21.737,66.171,101.658,-1.507
0.106,0.139,4.789,22.716,68.867,103.274,-2.976
0.116,0.103,3.444,20.688,76.771,98.713,1.170
0.100,0.123,7.076,22.429,72.554,102.268,-2.062
0.124,0.134,2.764,21.492,76.738,100.958,-0.871
0.144,0.104,3.197,22.895,80.296,96.063,3.579
0.107,0.139,1.224,23.790,76.972,103.198,-2.907
0.105,0.134,6.170,22.881,69.666,102.904,-2.640
0.134,0.109,7.253,21.691,65.759,97.505,2.268
0.136,0.108,9.920,24.723,68.506,97.250,2.500
0.117,0.125,8.297,20.272,71.012,100.872,-0.793
0.146,0.103,9.811,22.340,71.735,95.757,3.857
0.135,0.148,8.232,24.131,69.444,101.325,-1.204
0.135,0.145,9.437,20.231,72.398,100.990,-0.900
0.103,0.130,9.514,21.184,70.021,102.726,-2.478
0.109,0.129,9.603,20.510,68.953,101.976,-1.797
0.106,0.140,2.157,20.562,69.508,103.374,-3.067
0.137,0.104,5.288,23.939,78.393,96.663,3.033
0.131,0.135,9.751,22.726,68.580,100.331,-0.301
0.108,0.106,6.374,21.500,67.936,99.801,0.181
0.149,0.125,5.025,21.033,77.286,97.606,2.177
0.139,0.146,4.924,22.403,73.436,100.735,-0.668
0.102,0.111,5.804,21.249,81.859,100.921,-0.837
0.125,0.149,8.276,21.753,83.122,102.377,-2.161
0.133,0.119,4.674,20.668,73.411,98.627,1.249
0.118,0.120,7.831,22.399,67.809,100.150,-0.136
0.145,0.123,9.042,20.685,83.187,97.712,2.080
0.139,0.115,0.212,20.173,65.060,97.603,2.180
0.127,0.138,5.326,24.165,70.779,101.168,-1.062
0.144,0.135,6.874,20.460,66.747,99.089,0.828
0.111,0.150,5.131,23.152,67.531,103.915,-3.559
0.124,0.108,7.093,22.893,68.232,98.380,1.472
0.137,0.138,0.638,22.236,65.919,100.090,-0.082
0.103,0.115,5.117,20.024,81.081,101.182,-1.075
0.132,0.100,7.862,20.228,81.900,96.797,2.911
0.107,0.129,8.647,22.049,74.090,102.235,-2.032
0.128,0.109,3.503,24.166,80.592,98.040,1.782
0.140,0.124,8.434,21.145,68.646,98.410,1.445
0.118,0.112,5.887,22.519,67.378,99.416,0.531
0.127,0.106,3.784,20.415,73.621,97.902,1.907
0.147,0.112,1.286,22.072,67.835,96.527,3.157
0.135,0.133,9.956,24.698,84.136,99.798,0.184
0.104,0.128,8.651,20.286,65.224,102.377,-2.161
0.124,0.136,6.102,22.753,65.169,101.102,-1.002
0.127,0.134,3.898,21.828,71.759,100.677,-0.615
0.130,0.146,7.004,21.295,81.497,101.650,-1.500
0.114,0.122,5.339,20.270,71.645,100.763,-0.694
0.101,0.141,3.303,21.373,75.093,104.033,-3.667
0.134,0.120,6.405,21.459,82.321,98.609,1.265
0.143,0.148,2.441,24.021,71.501,100.457,-0.416
0.145,0.111,0.068,22.325,76.894,96.566,3.122
0.116,0.142,2.861,20.381,81.745,102.584,-2.349
0.132,0.110,0.321,21.808,83.090,97.773,2.024
0.111,0.125,4.209,24.508,74.604,101.451,-1.319
0.146,0.105,9.077,24.692,65.990,95.879,3.747
0.123,0.135,0.400,23.196,84.798,101.280,-1.164
0.143,0.104,4.142,23.876,75.941,96.087,3.557
0.142,0.103,5.594,23.288,73.476,96.081,3.562
0.123,0.115,8.643,23.995,69.475,99.135,0.786
0.104,0.145,8.256,22.787,74.206,104.122,-3.747
0.147,0.141,7.379,21.997,81.120,99.375,0.568
0.113,0.125,3.780,20.013,74.713,101.281,-1.165
0.149,0.144,5.282,21.115,67.702,99.536,0.422
0.142,0.123,9.496,24.530,73.908,98.096,1.731
0.131,0.138,6.636,24.234,65.433,100.691,-0.628
0.102,0.147,5.212,21.400,68.226,104.493,-4.084
0.141,0.112,3.144,21.340,71.507,97.101,2.635
0.111,0.106,7.996,21.129,66.031,99.457,0.494
0.107,0.132,7.388,21.382,77.442,102.522,-2.293
0.115,0.145,6.971,21.379,67.583,103.032,-2.757
0.123,0.106,9.031,24.209,74.282,98.269,1.574
0.131,0.133,0.210,24.909,77.182,100.191,-0.174
0.139,0.102,7.103,20.397,68.145,96.307,3.357
0.145,0.137,8.726,24.569,69.129,99.218,0.711
0.120,0.110,4.215,22.192,68.738,98.929,0.974
0.119,0.108,7.554,23.109,77.545,98.917,0.984
0.124,0.141,1.295,22.529,78.137,101.722,-1.565
0.107,0.135,4.318,20.632,65.312,102.820,-2.563
0.136,0.123,1.336,23.500,81.982,98.722,1.162
0.136,0.122,1.962,20.239,68.447,98.612,1.262
0.140,0.107,1.632,22.232,71.988,96.697,3.002
0.139,0.149,9.022,24.461,66.247,100.946,-0.860
0.109,0.145,2.465,20.308,83.484,103.611,-3.283
0.114,0.129,8.834,21.998,67.802,101.468,-1.334
0.103,0.103,1.284,24.535,70.066,100.025,-0.023
0.148,0.114,2.201,20.399,82.371,96.582,3.108
0.101,0.118,8.940,24.393,65.817,101.720,-1.563
0.115,0.148,4.192,22.850,73.337,103.239,-2.944
0.128,0.107,8.458,20.530,79.359,97.989,1.829
0.119,0.123,7.182,21.373,74.268,100.397,-0.361
0.109,0.120,0.466,23.314,73.280,101.045,-0.950
0.127,0.122,1.580,23.145,80.109,99.476,0.476
0.123,0.124,9.914,21.566,72.453,100.109,-0.099
0.105,0.146,1.101,21.056,75.972,104.110,-3.736
0.105,0.138,3.337,21.496,69.785,103.291,-2.992
0.115,0.139,4.091,21.981,79.758,102.477,-2.252
0.108,0.112,3.511,21.032,75.858,100.423,-0.385
0.115,0.146,2.859,21.884,72.243,103.157,-2.870
0.129,0.129,5.291,24.927,71.722,100.006,-0.005
0.121,0.111,0.046,20.306,76.633,98.920,0.982
0.150,0.125,7.028,22.322,84.266,97.485,2.286
0.139,0.143,8.311,22.620,72.035,100.410,-0.372
0.116,0.117,7.829,22.867,84.908,100.143,-0.130
0.136,0.116,6.304,23.298,80.551,97.986,1.831
0.110,0.139,1.269,24.412,72.440,102.921,-2.656
0.106,0.110,7.361,21.283,80.901,100.354,-0.322
0.131,0.137,9.374,20.423,84.189,100.647,-0.589
0.119,0.142,5.616,22.505,69.434,102.323,-2.112
0.144,0.141,8.546,24.190,83.754,99.685,0.286
0.124,0.123,2.555,20.324,69.431,99.955,0.041
0.111,0.118,2.166,21.125,69.337,100.739,-0.672
0.141,0.109,0.540,23.674,70.308,96.729,2.974
0.113,0.117,6.770,24.306,79.401,100.356,-0.323
0.138,0.116,5.513,20.210,66.502,97.741,2.054
0.128,0.125,2.869,23.550,66.055,99.748,0.229
0.138,0.139,3.675,22.486,74.887,100.096,-0.088
0.116,0.136,1.033,20.073,79.463,101.970,-1.791
0.104,0.105,2.479,22.623,68.510,100.055,-0.050
0.115,0.106,0.796,23.512,66.485,99.100,0.818
0.117,0.108,3.283,24.928,75.120,99.119,0.801
0.111,0.136,9.085,22.975,67.604,102.544,-2.313
0.109,0.118,3.176,20.344,68.364,100.914,-0.831
0.124,0.116,9.411,21.776,78.052,99.159,0.765
0.120,0.142,4.208,20.171,74.966,102.237,-2.034
0.138,0.127,2.697,23.155,82.766,98.913,0.988
0.100,0.135,0.176,23.058,71.271,103.422,-3.111
0.133,0.116,4.279,23.789,84.058,98.305,1.541
0.149,0.136,0.371,21.761,72.487,98.649,1.228
0.124,0.134,8.289,22.964,65.654,101.034,-0.940
0.122,0.104,7.419,23.702,67.959,98.202,1.635
0.114,0.138,9.471,23.473,73.613,102.365,-2.150
0.143,0.125,3.187,24.459,75.886,98.205,1.632
0.111,0.113,0.712,22.527,79.415,100.210,-0.190
0.111,0.126,6.111,20.202,69.933,101.500,-1.364
0.132,0.133,4.077,22.763,82.520,100.117,-0.106
0.141,0.146,3.673,20.518,75.342,100.498,-0.453
0.131,0.140,4.591,21.847,80.450,100.874,-0.795
0.135,0.131,6.798,23.048,66.435,99.613,0.352
0.110,0.148,1.092,22.328,72.206,103.738,-3.398
0.121,0.124,3.168,23.529,68.722,100.297,-0.270
0.140,0.149,9.484,21.254,71.247,100.934,-0.849
0.125,0.124,7.816,23.512,68.672,99.856,0.130
0.110,0.134,1.214,24.939,68.608,102.346,-2.133
0.101,0.128,3.867,20.262,73.272,102.662,-2.420
0.126,0.135,3.539,23.243,79.493,100.848,-0.771
0.140,0.109,2.299,21.509,75.846,96.919,2.801
0.149,0.141,2.761,20.065,67.454,99.208,0.720
0.147,0.146,9.489,23.877,82.577,99.900,0.091
0.150,0.121,2.845,23.062,78.340,97.155,2.586
0.116,0.138,3.192,21.028,80.345,102.247,-2.043
0.133,0.109,2.660,20.742,73.853,97.635,2.150
0.104,0.125,2.822,21.773,68.545,102.096,-1.906
0.102,0.133,3.274,20.727,70.254,103.124,-2.840
0.123,0.127,3.828,24.224,81.737,100.440,-0.400
0.126,0.108,5.387,22.651,67.929,98.241,1.599
0.123,0.122,7.559,23.804,76.966,99.955,0.041
0.137,0.121,2.365,21.313,81.518,98.342,1.507
0.120,0.111,9.920,22.332,81.617,99.104,0.815
0.124,0.127,9.682,24.982,66.556,100.265,-0.241
0.106,0.136,3.451,20.476,65.393,102.951,-2.682
0.107,0.118,0.643,22.828,76.514,101.091,-0.992
0.101,0.125,1.455,23.321,84.557,102.420,-2.200
0.140,0.125,1.442,21.856,75.784,98.506,1.358
0.105,0.104,5.333,20.639,80.149,99.907,0.085
0.139,0.124,0.936,22.141,81.719,98.514,1.351
0.118,0.101,0.814,21.928,84.075,98.263,1.579
0.113,0.142,9.973,24.424,81.576,102.911,-2.647
0.104,0.102,3.548,22.561,81.358,99.818,0.165
0.138,0.126,4.203,20.104,73.059,98.747,1.139
0.135,0.120,0.571,20.697,66.388,98.491,1.372
0.125,0.116,2.291,20.421,67.070,99.004,0.905
0.128,0.148,9.123,23.976,65.373,101.973,-1.794
0.141,0.121,0.468,23.014,73.557,97.981,1.836
0.119,0.133,7.041,20.455,80.005,101.358,-1.234
0.114,0.150,0.044,21.740,65.951,103.593,-3.266
0.126,0.116,6.575,22.609,69.546,98.927,0.975
0.105,0.112,2.459,20.276,79.585,100.686,-0.623
0.103,0.127,7.670,21.254,83.048,102.394,-2.177
0.135,0.110,5.731,21.989,81.217,97.455,2.314
0.133,0.124,9.656,23.867,84.091,99.103,0.816
0.118,0.109,4.369,22.272,84.761,99.066,0.849
0.101,0.131,0.836,23.464,78.283,102.987,-2.716
0.100,0.146,2.436,23.307,70.266,104.611,-4.192
0.111,0.103,9.086,24.308,79.462,99.224,0.706
0.133,0.142,8.855,22.948,65.621,100.813,-0.739
0.119,0.103,5.517,24.689,82.369,98.347,1.502
0.131,0.141,8.320,22.236,80.830,100.928,-0.844
0.100,0.116,7.126,23.360,75.098,101.534,-1.395
0.106,0.104,6.194,24.077,83.424,99.802,0.180
0.116,0.109,9.129,21.902,79.971,99.293,0.643
0.149,0.140,8.177,23.440,80.575,99.174,0.751
0.107,0.121,8.929,21.855,65.755,101.379,-1.254
0.148,0.142,3.561,21.025,69.462,99.402,0.544
0.110,0.101,8.677,24.638,82.799,99.156,0.768
0.141,0.105,8.003,22.981,69.867,96.399,3.274
0.122,0.109,0.551,20.066,82.309,98.772,1.116
0.146,0.141,3.986,21.030,70.613,99.543,0.415
0.113,0.144,4.520,22.263,65.182,103.031,-2.755
0.146,0.115,1.248,21.647,68.041,96.854,2.860
0.122,0.134,9.366,24.122,77.693,101.184,-1.076
0.114,0.102,4.067,22.000,69.547,98.782,1.107
0.110,0.137,8.458,21.792,70.633,102.718,-2.471
0.100,0.147,0.903,20.858,77.770,104.676,-4.251
0.108,0.104,4.198,24.622,81.584,99.557,0.403
0.106,0.137,1.382,24.973,76.886,103.164,-2.876
0.144,0.131,6.586,24.442,72.255,98.789,1.101
0.108,0.103,5.096,21.976,65.394,99.564,0.396
0.126,0.122,4.050,21.996,77.243,99.619,0.347
0.104,0.140,5.931,22.588,75.169,103.638,-3.307
0.129,0.120,3.886,24.569,82.824,99.099,0.819
0.133,0.124,3.495,20.236,69.991,99.037,0.875
0.146,0.144,3.858,24.852,71.062,99.818,0.166
0.113,0.121,9.429,20.562,82.155,100.774,-0.704
0.129,0.102,5.861,20.013,83.808,97.305,2.450
0.144,0.112,4.969,21.649,70.425,96.756,2.949
0.108,0.147,4.159,21.461,70.110,103.858,-3.507
0.120,0.107,3.724,23.063,84.902,98.641,1.235
0.121,0.100,9.245,20.600,80.553,97.986,1.831
0.110,0.102,9.978,21.142,67.023,99.232,0.698
0.112,0.106,6.727,22.559,71.774,99.401,0.545
0.136,0.106,2.638,22.653,74.272,96.950,2.773
0.135,0.129,4.291,20.689,83.910,99.315,0.622
0.144,0.133,9.286,21.914,66.305,98.966,0.940
0.145,0.117,7.702,21.296,70.426,97.181,2.563
0.138,0.150,9.760,22.482,83.182,101.176,-1.069
0.132,0.135,6.596,24.990,71.705,100.235,-0.214
0.129,0.101,8.515,23.131,72.648,97.151,2.590
0.147,0.115,7.176,22.931,80.958,96.812,2.898
0.143,0.135,8.148,24.665,69.534,99.253,0.679
0.101,0.102,6.916,20.570,82.621,100.042,-0.038
0.124,0.125,9.651,21.694,84.013,100.038,-0.034
0.117,0.147,4.595,22.800,83.206,103.004,-2.731
0.142,0.150,7.492,20.216,83.032,100.758,-0.689
0.120,0.118,8.230,24.280,67.571,99.879,0.110
0.141,0.135,5.425,21.049,79.806,99.335,0.605
0.129,0.105,2.798,22.420,75.585,97.531,2.244
0.132,0.102,1.849,23.748,72.394,96.947,2.775
0.129,0.128,3.075,24.637,71.937,99.969,0.028
0.125,0.118,6.771,24.969,68.744,99.360,0.582
0.113,0.101,3.404,23.729,81.165,98.819,1.074
0.126,0.143,6.050,21.846,65.298,101.682,-1.529
0.142,0.131,2.216,21.162,75.116,98.850,1.045
0.128,0.145,3.827,21.703,77.835,101.660,-1.509
0.109,0.148,4.933,22.786,69.784,103.833,-3.484
0.116,0.148,8.983,21.860,79.107,103.179,-2.890
0.136,0.147,4.414,23.181,84.063,101.154,-1.049
0.120,0.132,1.196,24.195,82.678,101.139,-1.035
0.138,0.113,3.071,23.136,82.644,97.520,2.255
0.121,0.110,9.102,22.406,65.330,98.890,1.009
0.140,0.119,5.462,21.622,66.129,97.844,1.960
0.124,0.131,7.174,20.851,73.431,100.692,-0.629
0.109,0.109,7.991,22.355,76.316,99.974,0.024
0.103,0.102,2.822,23.027,75.910,99.931,0.062
0.124,0.115,1.256,24.919,73.615,99.087,0.830
0.105,0.121,6.351,24.102,79.764,101.576,-1.433
0.103,0.117,5.489,21.516,72.044,101.486,-1.351
0.131,0.128,0.253,23.816,76.403,99.735,0.241
0.123,0.103,0.776,20.267,68.170,98.084,1.742
0.137,0.116,7.161,21.360,83.288,97.967,1.848
0.133,0.116,6.132,24.700,73.765,98.304,1.542
0.107,0.134,3.381,24.587,70.600,102.656,-2.415
0.143,0.120,0.190,21.399,69.440,97.744,2.051
0.114,0.106,6.288,22.019,77.546,99.172,0.753
0.148,0.119,4.406,23.764,65.634,97.088,2.647
0.117,0.132,5.265,21.374,65.194,101.539,-1.399
0.118,0.106,2.933,23.799,65.179,98.825,1.068
0.121,0.115,6.709,22.872,75.599,99.486,0.468
0.105,0.141,6.910,23.577,67.298,103.644,-3.313
0.131,0.104,6.305,22.073,79.544,97.260,2.491
0.121,0.144,6.657,21.231,78.407,102.256,-2.051
0.119,0.103,0.776,23.516,69.440,98.450,1.409
0.131,0.149,3.564,25.000,84.083,101.767,-1.606
0.145,0.144,1.077,23.266,71.857,99.842,0.144
0.118,0.108,8.720,21.158,72.108,98.954,0.951
0.137,0.111,9.881,22.182,83.765,97.455,2.314
0.122,0.126,2.793,22.784,75.841,100.363,-0.330
0.113,0.147,1.709,20.750,80.724,103.450,-3.136
0.112,0.129,1.677,23.658,77.686,101.676,-1.523
0.115,0.135,5.221,23.345,72.945,102.036,-1.851
0.109,0.106,3.239,22.210,79.456,99.698,0.275
0.108,0.146,1.926,22.295,73.122,103.738,-3.399
0.121,0.111,8.765,22.169,65.888,98.983,0.925
0.149,0.117,7.175,20.051,79.057,96.769,2.937
0.116,0.132,0.168,21.441,66.570,101.613,-1.466
0.122,0.146,3.980,22.940,79.416,102.345,-2.132
0.147,0.112,3.569,23.392,65.538,96.466,3.212
0.121,0.114,5.299,24.176,68.060,99.314,0.623
0.127,0.149,2.469,24.075,80.260,102.148,-1.953
0.150,0.106,2.785,20.231,75.800,95.626,3.977
0.140,0.119,5.978,21.517,78.611,97.887,1.921
0.121,0.129,4.756,20.605,77.231,100.816,-0.742
0.136,0.103,8.658,21.331,75.850,96.639,3.055
